GeoDe,DollarStreet,Combined and renamed,ImageNet21k classes,ImageNet21k ids,ImageNet1k classes,ImageNet1k ids,LAION?
-,"play area, playgrounds, playing, children room, kids playing inside, kids playing outside",play area,"playground, sandbox","n03963645, n04134523",,,yes
-,"power outlet, plugging into and out of power outlet",power outlet,socket,n04255163,,,yes
-,"listening to the radio, radio",radio,"radio, radio","n04041544, n06277135",,,
-,"reading, reading a book",read,,,,,yes
-,"refrigerator, freezer, opening and closing the refrigerator, opening and closing the freezer",refrigerator,refrigerator,n04070727,,,yes
religious_building,"worship places, worshipping",religious building,"church, mosque, temple, temple, synagogue, chapel","n03028079, n03788195, n04407435, n04407686, n04374735, n03007130",,,yes
road_sign,-,road sign,,,street sign,n06794110 ,yes
-,roof,roof,"roof, roof","n04105068, n09416890",,,
-,"rug, sitting area",rug,rug,n04118021,,,yes
-,"salt, taking a teaspoon of salt",salt,,,"saltshaker, salt shaker","n04131690, n04131690",
-,shampoo,shampoo,,,,,yes
-,shaving,shaving,"razor, shaver","n04057047, n04185804",,,
-,"everyday shoes, nicest shoes, shoes",shoes,"shoe, shoe","n04199027, n04200000",,,yes
-,shower,shower,shower,n04208936,,,
-,"sleeping, laying in bed - pretend to sleep",sleep,bed,n02818832,sleeping bag,n04235860,yes
hand_soap,soap for hands and body,soap,,,soap dispenser,n04254120 ,yes
-,"source of cool, turning fan/ac on, ventilation",source of cool,"fan, air_conditioner, cooler","n03320046, n02686379, n03102654",,,yes
-,"source of heat, turning heater on",source of heat,"heater, radiator, radiator, radiator, fireplace, air_conditioner","n03508101, n04040759, n04041069, n09403211, n03346455, n02686379",,,yes
spices,"spices, adding spices to food while cooking",spice,spice,n07812184,,,yes
-,"storage room, meat storages",storage room,"pantry, attic","n03885535, n02755823",,,
"storefront, stall","foodstores, snack stores, vegetable markets, markets, meat markets",store,,,"shoe shop, shoe-shop, shoe store, grocery store, grocery, food market, market, confectionery, confectionary, candy store","n04200800, n04200800, n04200800, n03461385, n03461385, n03461385, n03461385, n03089624, n03089624, n03089624",
stove,"stove/hob, starting stove",stove,"stove, stove","n04330267, n04330340",,,yes
streetlight_lantern,-,streetlight lantern,"streetlight, lantern","n04335886, n03640988",,,
-,"toilet, bathroom privacy, bathroom/toilet, using toilet",toilet,toilet,n04446276,,,
-,toilet paper,toilet paper,,,"toilet tissue, toilet paper, bathroom tissue",n15075141,yes
toothbrush,"toothbrush, toothpaste on toothbrush, brushing teeth",toothbrush,toothbrush,n04453156,,,yes
toothpaste_toothpowder,toothpaste on toothbrush,toothpaste,,,,,yes
toy,toys,toy,toy,n04461879,,,yes
tree,-,tree,"tree, tree","n13104059, n13912260",,,
truck,tractors,truck,truck,n04490091,,,yes
-,"tv, turn tv on, sitting and watching tv",tv,"television, television","n04404412, n06277280",,,
-,"vegetable plot, vegetables, vegetable markets",vegetables,vegetable,n07707451,,,yes
-,"wall, wall clock, wall decoration, wall inside",wall,"wall, wall","n04547592, n14564779",,,
"waste_container, dustbin",throwing food trash away,waste container,,,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin",n02747177,yes
-,"waste dumps, trash/waste",waste dump,"landfill, litter","n09335809, n14858292",,,
-,water outlet,water outlet,"faucet, tap","n03325088, n04390977",,,yes
wheelbarrow,wheel barrow,wheelbarrow,"handcart, cart","n03484083, n02970849",,,yes
-,work area,work area,"office, desk, workstation","n03841666, n03179701, n04603399",,,
