,"Most similar countries to coresponding (topic, country) pair"
wall_Cameroon,"[('Peru', 0.907), ('Pakistan', 0.902), ('Kenya', 0.882), ('India', 0.875), ('Tanzania', 0.872), ('Brazil', 0.87), ('Colombia', 0.853), ('Indonesia', 0.85), ('Philippines', 0.842), ('Ethiopia', 0.835), ('Nigeria', 0.835), ('South Africa', 0.832), ('Vietnam', 0.831), ('China', 0.827), ('Thailand', 0.824), ('Nepal', 0.822), ('Iran', 0.809), ('Cambodia', 0.805), ('South Korea', 0.798), ('Tunisia', 0.796), ('Bolivia', 0.794), (""Cote d'Ivoire"", 0.791), ('Myanmar', 0.789), ('United States', 0.784), ('Bangladesh', 0.784), ('Haiti', 0.775), ('France', 0.773), ('Jordan', 0.77), ('Netherlands', 0.769), ('Mexico', 0.762), ('Serbia', 0.755), ('Ukraine', 0.749), ('Spain', 0.72), ('Malawi', 0.708), ('Burkina Faso', 0.693)]"
wall_Myanmar,"[('Cambodia', 0.954), ('Bangladesh', 0.954), ('Philippines', 0.938), ('Indonesia', 0.937), ('Nepal', 0.924), ('Nigeria', 0.922), ('Haiti', 0.918), ('China', 0.912), ('South Korea', 0.906), (""Cote d'Ivoire"", 0.904), ('South Africa', 0.901), ('Vietnam', 0.891), ('Ethiopia', 0.89), ('Kenya', 0.889), ('India', 0.888), ('Bolivia', 0.888), ('Tanzania', 0.887), ('Thailand', 0.886), ('Jordan', 0.879), ('Brazil', 0.879), ('Tunisia', 0.876), ('Serbia', 0.871), ('Peru', 0.87), ('Ukraine', 0.865), ('France', 0.862), ('Burkina Faso', 0.857), ('United States', 0.855), ('Malawi', 0.845), ('Colombia', 0.844), ('Spain', 0.837), ('Iran', 0.827), ('Mexico', 0.827), ('Netherlands', 0.807), ('Pakistan', 0.792), ('Cameroon', 0.789)]"
wall_Colombia,"[('Brazil', 0.96), ('India', 0.957), ('Iran', 0.947), ('United States', 0.927), ('Netherlands', 0.925), ('China', 0.924), ('South Africa', 0.922), ('Indonesia', 0.917), ('France', 0.912), ('Philippines', 0.91), ('Pakistan', 0.909), ('Serbia', 0.909), ('Ethiopia', 0.901), ('Mexico', 0.901), ('Vietnam', 0.899), ('Tanzania', 0.895), ('South Korea', 0.894), ('Spain', 0.893), ('Ukraine', 0.888), ('Nigeria', 0.888), ('Nepal', 0.885), ('Kenya', 0.884), ('Jordan', 0.878), ('Thailand', 0.877), ('Tunisia', 0.874), ('Cambodia', 0.869), ('Peru', 0.866), ('Cameroon', 0.853), ('Bolivia', 0.85), ('Myanmar', 0.844), ('Bangladesh', 0.826), (""Cote d'Ivoire"", 0.824), ('Haiti', 0.813), ('Malawi', 0.783), ('Burkina Faso', 0.778)]"
wall_Iran,"[('Colombia', 0.947), ('India', 0.946), ('Brazil', 0.946), ('Serbia', 0.923), ('China', 0.922), ('United States', 0.913), ('France', 0.91), ('Indonesia', 0.907), ('Netherlands', 0.905), ('South Africa', 0.899), ('Ethiopia', 0.899), ('Spain', 0.898), ('Pakistan', 0.898), ('Philippines', 0.897), ('Mexico', 0.894), ('Ukraine', 0.893), ('South Korea', 0.891), ('Vietnam', 0.886), ('Nepal', 0.877), ('Jordan', 0.877), ('Tanzania', 0.872), ('Tunisia', 0.871), ('Kenya', 0.871), ('Nigeria', 0.871), ('Thailand', 0.869), ('Cambodia', 0.857), ('Bolivia', 0.834), ('Peru', 0.832), ('Myanmar', 0.827), ('Cameroon', 0.809), ('Bangladesh', 0.806), (""Cote d'Ivoire"", 0.805), ('Haiti', 0.79), ('Burkina Faso', 0.769), ('Malawi', 0.767)]"
wall_Spain,"[('Serbia', 0.947), ('France', 0.941), ('Netherlands', 0.935), ('Ukraine', 0.934), ('Mexico', 0.926), ('United States', 0.925), ('Brazil', 0.915), ('China', 0.91), ('Jordan', 0.903), ('India', 0.902), ('Nepal', 0.9), ('Iran', 0.898), ('Indonesia', 0.896), ('Colombia', 0.893), ('South Korea', 0.893), ('Tunisia', 0.887), ('Ethiopia', 0.884), ('Vietnam', 0.884), ('Philippines', 0.88), ('Nigeria', 0.88), ('South Africa', 0.879), ('Cambodia', 0.87), ('Tanzania', 0.859), ('Kenya', 0.854), ('Malawi', 0.848), ('Bolivia', 0.845), ('Myanmar', 0.837), ('Burkina Faso', 0.836), ('Haiti', 0.825), ('Bangladesh', 0.823), (""Cote d'Ivoire"", 0.82), ('Thailand', 0.811), ('Pakistan', 0.79), ('Peru', 0.777), ('Cameroon', 0.72)]"
wall_Nigeria,"[('Nepal', 0.957), ('Kenya', 0.952), ('Tanzania', 0.95), ('Indonesia', 0.947), ('Cambodia', 0.938), ('Tunisia', 0.937), ('Philippines', 0.935), ('Jordan', 0.931), ('India', 0.93), (""Cote d'Ivoire"", 0.929), ('China', 0.927), ('Brazil', 0.927), ('South Korea', 0.923), ('Myanmar', 0.922), ('Haiti', 0.92), ('South Africa', 0.92), ('Vietnam', 0.92), ('Burkina Faso', 0.916), ('Ukraine', 0.916), ('Bolivia', 0.916), ('Malawi', 0.915), ('Ethiopia', 0.914), ('Serbia', 0.912), ('Bangladesh', 0.91), ('France', 0.908), ('United States', 0.899), ('Colombia', 0.888), ('Mexico', 0.883), ('Spain', 0.88), ('Peru', 0.879), ('Thailand', 0.876), ('Netherlands', 0.874), ('Iran', 0.871), ('Pakistan', 0.841), ('Cameroon', 0.835)]"
wall_Thailand,"[('Philippines', 0.938), ('Indonesia', 0.925), ('China', 0.916), ('India', 0.915), ('Brazil', 0.914), ('South Africa', 0.913), ('Cambodia', 0.904), ('South Korea', 0.898), ('Vietnam', 0.892), ('Ethiopia', 0.891), ('Myanmar', 0.886), ('Peru', 0.886), ('Nepal', 0.883), ('Kenya', 0.881), ('Colombia', 0.877), ('Nigeria', 0.876), ('Serbia', 0.876), ('Tanzania', 0.873), ('United States', 0.872), ('Iran', 0.869), ('Bangladesh', 0.863), ('France', 0.861), ('Mexico', 0.86), ('Bolivia', 0.859), ('Tunisia', 0.856), ('Jordan', 0.852), ('Ukraine', 0.847), (""Cote d'Ivoire"", 0.846), ('Pakistan', 0.842), ('Haiti', 0.841), ('Cameroon', 0.824), ('Netherlands', 0.816), ('Spain', 0.811), ('Burkina Faso', 0.759), ('Malawi', 0.753)]"
wall_Bolivia,"[('Tunisia', 0.943), ('Nepal', 0.942), ('Jordan', 0.937), ('Indonesia', 0.934), (""Cote d'Ivoire"", 0.933), ('Cambodia', 0.928), ('Philippines', 0.927), ('Haiti', 0.923), ('Nigeria', 0.916), ('Tanzania', 0.904), ('Kenya', 0.901), ('Brazil', 0.899), ('South Korea', 0.898), ('South Africa', 0.897), ('China', 0.894), ('Ukraine', 0.894), ('India', 0.893), ('Vietnam', 0.892), ('France', 0.891), ('Myanmar', 0.888), ('Serbia', 0.888), ('Ethiopia', 0.887), ('Bangladesh', 0.885), ('Malawi', 0.883), ('Burkina Faso', 0.87), ('United States', 0.87), ('Peru', 0.863), ('Thailand', 0.859), ('Colombia', 0.85), ('Mexico', 0.846), ('Spain', 0.845), ('Iran', 0.834), ('Netherlands', 0.83), ('Cameroon', 0.794), ('Pakistan', 0.793)]"
wall_Tunisia,"[('Jordan', 0.968), ('Nepal', 0.953), ('Bolivia', 0.943), ('Ukraine', 0.938), ('Nigeria', 0.937), ('Indonesia', 0.936), ('France', 0.932), ('Philippines', 0.929), ('Tanzania', 0.926), ('Serbia', 0.926), ('South Korea', 0.925), ('Vietnam', 0.924), ('Brazil', 0.924), ('India', 0.922), ('Kenya', 0.921), (""Cote d'Ivoire"", 0.92), ('Haiti', 0.916), ('Cambodia', 0.916), ('South Africa', 0.915), ('China', 0.909), ('Malawi', 0.902), ('Burkina Faso', 0.9), ('United States', 0.9), ('Mexico', 0.894), ('Ethiopia', 0.893), ('Spain', 0.887), ('Myanmar', 0.876), ('Colombia', 0.874), ('Bangladesh', 0.873), ('Netherlands', 0.872), ('Iran', 0.871), ('Thailand', 0.856), ('Peru', 0.854), ('Pakistan', 0.82), ('Cameroon', 0.796)]"
wall_Tanzania,"[('Kenya', 0.951), ('Nigeria', 0.95), ('Nepal', 0.947), ('Indonesia', 0.935), ('India', 0.93), ('Brazil', 0.927), ('Tunisia', 0.926), ('Philippines', 0.923), ('China', 0.921), ('South Africa', 0.919), ('Cambodia', 0.919), ('Ethiopia', 0.918), ('Vietnam', 0.917), ('Peru', 0.91), ('Bolivia', 0.904), ('Jordan', 0.904), ('Ukraine', 0.9), ('Haiti', 0.898), ('Serbia', 0.898), (""Cote d'Ivoire"", 0.897), ('France', 0.896), ('Colombia', 0.895), ('South Korea', 0.895), ('Myanmar', 0.887), ('United States', 0.885), ('Mexico', 0.881), ('Bangladesh', 0.877), ('Thailand', 0.873), ('Iran', 0.872), ('Cameroon', 0.872), ('Malawi', 0.871), ('Netherlands', 0.869), ('Burkina Faso', 0.862), ('Spain', 0.859), ('Pakistan', 0.859)]"
wall_South Africa,"[('Philippines', 0.95), ('India', 0.943), ('Brazil', 0.942), ('Indonesia', 0.941), ('China', 0.935), ('South Korea', 0.933), ('Kenya', 0.925), ('United States', 0.923), ('Colombia', 0.922), ('Cambodia', 0.922), ('Nepal', 0.922), ('Nigeria', 0.92), ('Tanzania', 0.919), ('Vietnam', 0.918), ('France', 0.917), ('Serbia', 0.917), ('Tunisia', 0.915), ('Thailand', 0.913), ('Ukraine', 0.909), ('Haiti', 0.908), ('Ethiopia', 0.907), ('Jordan', 0.905), (""Cote d'Ivoire"", 0.903), ('Myanmar', 0.901), ('Mexico', 0.901), ('Iran', 0.899), ('Bolivia', 0.897), ('Bangladesh', 0.894), ('Netherlands', 0.883), ('Peru', 0.882), ('Spain', 0.879), ('Pakistan', 0.858), ('Burkina Faso', 0.835), ('Cameroon', 0.832), ('Malawi', 0.828)]"
wall_Malawi,"[('Burkina Faso', 0.965), ('Nepal', 0.919), ('Nigeria', 0.915), ('Jordan', 0.909), (""Cote d'Ivoire"", 0.905), ('Tunisia', 0.902), ('Haiti', 0.893), ('Ukraine', 0.89), ('Indonesia', 0.884), ('Bolivia', 0.883), ('Cambodia', 0.875), ('Kenya', 0.872), ('Tanzania', 0.871), ('Philippines', 0.858), ('Serbia', 0.855), ('Bangladesh', 0.854), ('Vietnam', 0.853), ('France', 0.851), ('South Korea', 0.85), ('Spain', 0.848), ('Myanmar', 0.845), ('China', 0.837), ('Netherlands', 0.837), ('South Africa', 0.828), ('Brazil', 0.828), ('India', 0.823), ('Ethiopia', 0.822), ('United States', 0.82), ('Mexico', 0.819), ('Colombia', 0.783), ('Peru', 0.778), ('Iran', 0.767), ('Thailand', 0.753), ('Pakistan', 0.714), ('Cameroon', 0.708)]"
wall_Cote d'Ivoire,"[('Haiti', 0.955), ('Bolivia', 0.933), ('Nepal', 0.933), ('Nigeria', 0.929), ('Tunisia', 0.92), ('Philippines', 0.92), ('Burkina Faso', 0.919), ('Cambodia', 0.919), ('Jordan', 0.918), ('Indonesia', 0.914), ('Kenya', 0.914), ('Bangladesh', 0.909), ('Malawi', 0.905), ('Myanmar', 0.904), ('South Africa', 0.903), ('Tanzania', 0.897), ('South Korea', 0.893), ('Ukraine', 0.877), ('India', 0.876), ('Vietnam', 0.874), ('China', 0.872), ('Brazil', 0.872), ('Ethiopia', 0.866), ('Serbia', 0.866), ('France', 0.864), ('Peru', 0.86), ('Thailand', 0.846), ('United States', 0.845), ('Colombia', 0.824), ('Spain', 0.82), ('Mexico', 0.819), ('Iran', 0.805), ('Netherlands', 0.8), ('Cameroon', 0.791), ('Pakistan', 0.773)]"
wall_Mexico,"[('Serbia', 0.941), ('Brazil', 0.933), ('France', 0.926), ('Spain', 0.926), ('United States', 0.925), ('Ukraine', 0.923), ('India', 0.922), ('Netherlands', 0.919), ('China', 0.916), ('Philippines', 0.908), ('Vietnam', 0.902), ('Colombia', 0.901), ('South Africa', 0.901), ('South Korea', 0.901), ('Indonesia', 0.9), ('Jordan', 0.9), ('Tunisia', 0.894), ('Iran', 0.894), ('Nepal', 0.893), ('Ethiopia', 0.886), ('Nigeria', 0.883), ('Tanzania', 0.881), ('Kenya', 0.87), ('Cambodia', 0.866), ('Thailand', 0.86), ('Bolivia', 0.846), ('Myanmar', 0.827), ('Malawi', 0.819), (""Cote d'Ivoire"", 0.819), ('Haiti', 0.817), ('Burkina Faso', 0.817), ('Pakistan', 0.815), ('Bangladesh', 0.812), ('Peru', 0.8), ('Cameroon', 0.762)]"
wall_Peru,"[('Kenya', 0.922), ('Indonesia', 0.91), ('Tanzania', 0.91), ('Cameroon', 0.907), ('Philippines', 0.901), ('Brazil', 0.897), ('Nepal', 0.892), ('India', 0.89), ('Ethiopia', 0.886), ('Thailand', 0.886), ('Cambodia', 0.883), ('South Africa', 0.882), ('China', 0.881), ('Nigeria', 0.879), ('Myanmar', 0.87), ('Vietnam', 0.868), ('Colombia', 0.866), ('Bangladesh', 0.865), ('Bolivia', 0.863), (""Cote d'Ivoire"", 0.86), ('Haiti', 0.859), ('Pakistan', 0.859), ('Tunisia', 0.854), ('South Korea', 0.838), ('United States', 0.836), ('Iran', 0.832), ('Jordan', 0.825), ('France', 0.823), ('Serbia', 0.822), ('Ukraine', 0.809), ('Mexico', 0.8), ('Netherlands', 0.799), ('Malawi', 0.778), ('Spain', 0.777), ('Burkina Faso', 0.77)]"
wall_Ethiopia,"[('Indonesia', 0.937), ('Brazil', 0.937), ('China', 0.93), ('Philippines', 0.929), ('India', 0.928), ('Nepal', 0.927), ('Serbia', 0.923), ('Tanzania', 0.918), ('Cambodia', 0.914), ('Nigeria', 0.914), ('Kenya', 0.912), ('Ukraine', 0.908), ('South Africa', 0.907), ('Colombia', 0.901), ('Vietnam', 0.9), ('Iran', 0.899), ('South Korea', 0.896), ('United States', 0.896), ('Jordan', 0.896), ('France', 0.893), ('Tunisia', 0.893), ('Thailand', 0.891), ('Myanmar', 0.89), ('Bolivia', 0.887), ('Peru', 0.886), ('Mexico', 0.886), ('Spain', 0.884), ('Bangladesh', 0.87), ('Netherlands', 0.868), (""Cote d'Ivoire"", 0.866), ('Haiti', 0.858), ('Pakistan', 0.852), ('Cameroon', 0.835), ('Malawi', 0.822), ('Burkina Faso', 0.82)]"
wall_Nepal,"[('Indonesia', 0.959), ('Cambodia', 0.957), ('Nigeria', 0.957), ('Philippines', 0.956), ('Tunisia', 0.953), ('Jordan', 0.95), ('Tanzania', 0.947), ('Bolivia', 0.942), ('China', 0.941), ('Vietnam', 0.938), ('Ukraine', 0.937), ('India', 0.937), ('Kenya', 0.935), ('South Korea', 0.935), (""Cote d'Ivoire"", 0.933), ('Serbia', 0.933), ('Haiti', 0.931), ('Ethiopia', 0.927), ('Brazil', 0.927), ('Myanmar', 0.924), ('Bangladesh', 0.923), ('South Africa', 0.922), ('France', 0.92), ('Malawi', 0.919), ('Burkina Faso', 0.913), ('Spain', 0.9), ('United States', 0.899), ('Mexico', 0.893), ('Peru', 0.892), ('Colombia', 0.885), ('Thailand', 0.883), ('Netherlands', 0.88), ('Iran', 0.877), ('Pakistan', 0.84), ('Cameroon', 0.822)]"
wall_Pakistan,"[('India', 0.935), ('Colombia', 0.909), ('Cameroon', 0.902), ('Iran', 0.898), ('Brazil', 0.898), ('China', 0.872), ('Indonesia', 0.87), ('Philippines', 0.865), ('Tanzania', 0.859), ('Peru', 0.859), ('South Africa', 0.858), ('South Korea', 0.857), ('Vietnam', 0.853), ('Ethiopia', 0.852), ('Kenya', 0.852), ('Thailand', 0.842), ('Nigeria', 0.841), ('Nepal', 0.84), ('United States', 0.834), ('Netherlands', 0.831), ('France', 0.829), ('Serbia', 0.822), ('Tunisia', 0.82), ('Jordan', 0.817), ('Mexico', 0.815), ('Ukraine', 0.814), ('Cambodia', 0.81), ('Bolivia', 0.793), ('Myanmar', 0.792), ('Spain', 0.79), ('Bangladesh', 0.788), (""Cote d'Ivoire"", 0.773), ('Haiti', 0.742), ('Malawi', 0.714), ('Burkina Faso', 0.709)]"
wall_Netherlands,"[('Spain', 0.935), ('France', 0.929), ('Colombia', 0.925), ('United States', 0.924), ('Serbia', 0.922), ('Brazil', 0.922), ('Mexico', 0.919), ('Ukraine', 0.913), ('India', 0.91), ('Iran', 0.905), ('China', 0.902), ('Vietnam', 0.892), ('Indonesia', 0.889), ('South Africa', 0.883), ('Nepal', 0.88), ('Jordan', 0.879), ('Nigeria', 0.874), ('Tunisia', 0.872), ('South Korea', 0.87), ('Philippines', 0.87), ('Tanzania', 0.869), ('Ethiopia', 0.868), ('Kenya', 0.854), ('Cambodia', 0.852), ('Malawi', 0.837), ('Pakistan', 0.831), ('Bolivia', 0.83), ('Thailand', 0.816), ('Burkina Faso', 0.808), ('Myanmar', 0.807), ('Haiti', 0.802), (""Cote d'Ivoire"", 0.8), ('Bangladesh', 0.8), ('Peru', 0.799), ('Cameroon', 0.769)]"
wall_Haiti,"[(""Cote d'Ivoire"", 0.955), ('Cambodia', 0.935), ('Nepal', 0.931), ('Bangladesh', 0.931), ('Bolivia', 0.923), ('Nigeria', 0.92), ('Myanmar', 0.918), ('Tunisia', 0.916), ('Indonesia', 0.91), ('Philippines', 0.909), ('South Africa', 0.908), ('Kenya', 0.908), ('Burkina Faso', 0.906), ('Jordan', 0.901), ('Tanzania', 0.898), ('Malawi', 0.893), ('South Korea', 0.88), ('China', 0.878), ('Vietnam', 0.877), ('Ukraine', 0.871), ('France', 0.869), ('Serbia', 0.863), ('India', 0.861), ('Peru', 0.859), ('Brazil', 0.859), ('Ethiopia', 0.858), ('United States', 0.849), ('Thailand', 0.841), ('Spain', 0.825), ('Mexico', 0.817), ('Colombia', 0.813), ('Netherlands', 0.802), ('Iran', 0.79), ('Cameroon', 0.775), ('Pakistan', 0.742)]"
wall_South Korea,"[('Philippines', 0.954), ('India', 0.946), ('Indonesia', 0.94), ('China', 0.94), ('Jordan', 0.939), ('Nepal', 0.935), ('South Africa', 0.933), ('Brazil', 0.929), ('Serbia', 0.928), ('Tunisia', 0.925), ('Ukraine', 0.923), ('Nigeria', 0.923), ('Cambodia', 0.922), ('France', 0.92), ('Vietnam', 0.92), ('United States', 0.909), ('Myanmar', 0.906), ('Kenya', 0.904), ('Mexico', 0.901), ('Bolivia', 0.898), ('Thailand', 0.898), ('Ethiopia', 0.896), ('Tanzania', 0.895), ('Colombia', 0.894), ('Spain', 0.893), (""Cote d'Ivoire"", 0.893), ('Iran', 0.891), ('Bangladesh', 0.886), ('Haiti', 0.88), ('Netherlands', 0.87), ('Burkina Faso', 0.859), ('Pakistan', 0.857), ('Malawi', 0.85), ('Peru', 0.838), ('Cameroon', 0.798)]"
